70,0
75,1
24,1
10,2
26,2
15,3
3,3
16,4
76,2
39,3
28,4
34,5
94,3
79,4
36,6
65,4
59,5
86,5
71,2
74,3
11,4
22,5
73,4
25,3
35,7
96,4
52,6
4,4
87,6
7,5
12,5
14,6
45,7
21,6
58,7
5,6
64,6
32,6
63,7
61,8
17,7
9,6
72,5
51,8
77,5
47,9
53,8
33,7
54,9
1,4
18,8
68,5
82,6
56,10
81,7
93,7
91,8
49,10
60,9
67,6
43,8
41,9
90,9
31,7
98,5
40,10
80,8
27,5
100,6
97,6
48,11
13,7
19,9
92,9
30,8
57,11
95,5
37,7
84,7
78,6
42,10
89,10
55,11
46,10
99,7
38,8
20,10
69,6
6,7
2,5
66,7
8,7
44,9
62,9
23,6
88,11
85,8
50,11
83,8
29,9
